plume_id,plume_latitude,plume_longitude,datetime,ipcc_sector,gas,cmf_type,plume_bounds,instrument,published_at,plume_png_object,plume_tif_object,rgb_png_object,rgb_tif_object,emission_auto,emission_uncertainty_auto,wind_speed_avg_auto,wind_speed_std_auto,wind_direction_avg_auto,wind_direction_std_auto,wind_source_auto,platform,provider,plume_tif,plume_png,rgb_tif,rgb_png
emi20240101t162859p11002-A,-34.23466926296778,-70.70163302218631,2024-01-01T16:28:59+00,Solid Waste (6A),CH4,mfa,"[-70.73368646929265, -34.25869269897656, -70.66503516155367, -34.20143923287892]",emi,2024-03-27 18:25:21.890486+00:00,,,,,1637.438563198793,201.36415857638667,2.981481481481481,0.3666479606152467,234.65036900816077,9.192039499356245,openmeteo,ISS,NASA-JPL EMIT,emi20240101t162859p11002-A_l3a-vis-ch4-mfa-v002_plume.tif,emi20240101t162859p11002-A_l3a-vis-ch4-mfa-v002_plume.png,emi20240101t162859p11002-A_l3a-vis-ch4-mfa-v002_rgb.tif,emi20240101t162859p11002-A_l3a-vis-ch4-mfa-v002_rgb.png
emi20240104t154038p10003-A,-36.765738859372,-72.96140502266859,2024-01-04T15:40:38+00,Solid Waste (6A),CH4,mfa,"[-73.000715017555, -36.795121296598346, -72.93101332063924, -36.739766595638805]",emi,2024-05-16 16:18:10.208422+00:00,,,,,1291.804138438379,415.17709801616746,2.8333333333333335,0.9106141372699441,254.77558316373194,27.475796981573822,ecmwf_ifs,ISS,NASA-JPL EMIT,emi20240104t154038p10003-A_l3a-vis-ch4-mfa-v002_plume.tif,emi20240104t154038p10003-A_l3a-vis-ch4-mfa-v002_plume.png,emi20240104t154038p10003-A_l3a-vis-ch4-mfa-v002_rgb.tif,emi20240104t154038p10003-A_l3a-vis-ch4-mfa-v002_rgb.png
emi20240105t145150p09004-A,-32.96271501446038,-70.7948460597627,2024-01-05T14:51:50+00,Solid Waste (6A),CH4,mfa,"[-70.8274463543705, -32.999579278638066, -70.75883379904302, -32.942513301513124]",emi,2024-02-13 19:54:45.625005+00:00,,,,,3526.2208710969476,263.0364630110934,3.6018518518518516,0.2686781134916095,293.6661962795516,2.3572719421047945,openmeteo,ISS,NASA-JPL EMIT,emi20240105t145150p09004-A_l3a-vis-ch4-mfa-v002_plume.tif,emi20240105t145150p09004-A_l3a-vis-ch4-mfa-v002_plume.png,emi20240105t145150p09004-A_l3a-vis-ch4-mfa-v002_rgb.tif,emi20240105t145150p09004-A_l3a-vis-ch4-mfa-v002_rgb.png
emi20240108t140323p09003-A,-36.69460463898326,-72.16646644309402,2024-01-08T14:03:23+00,Solid Waste (6A),CH4,mfa,"[-72.19689739419452, -36.71642682309989, -72.12532812877609, -36.659521726533825]",emi,2024-03-27 18:25:43.928693+00:00,,,,,4556.0501117749245,56.3543092735038,5.601851851851852,0.0692899516069249,202.6666365779404,0.9428249972875716,openmeteo,ISS,NASA-JPL EMIT,emi20240108t140323p09003-A_l3a-vis-ch4-mfa-v002_plume.tif,emi20240108t140323p09003-A_l3a-vis-ch4-mfa-v002_plume.png,emi20240108t140323p09003-A_l3a-vis-ch4-mfa-v002_rgb.tif,emi20240108t140323p09003-A_l3a-vis-ch4-mfa-v002_rgb.png
emi20240109t131423p08003-A,-32.955564413915305,-70.79758101260262,2024-01-09T13:14:23+00,Solid Waste (6A),CH4,mfa,"[-70.82667503680159, -32.97549494705235, -70.73228273994599, -32.89577496490665]",emi,2024-02-13 19:54:45.469904+00:00,,,,,986.9976503454473,393.3026540053006,1.4537037037037035,0.5792774933191501,335.8964865721193,28.68094777318256,openmeteo,ISS,NASA-JPL EMIT,emi20240109t131423p08003-A_l3a-vis-ch4-mfa-v002_plume.tif,emi20240109t131423p08003-A_l3a-vis-ch4-mfa-v002_plume.png,emi20240109t131423p08003-A_l3a-vis-ch4-mfa-v002_rgb.tif,emi20240109t131423p08003-A_l3a-vis-ch4-mfa-v002_rgb.png
emi20240112t185917p12016-A,-34.53168790499732,-58.619955297787456,2024-01-12T18:59:17+00,Solid Waste (6A),CH4,mfa,"[-58.665637846013745, -34.5580998691586, -58.597745410519025, -34.50216817190147]",emi,2024-02-28 03:33:50.875990+00:00,,,,,11811.633194392469,424.4254192413894,5.101851851851852,0.18332398030762384,84.66500913598082,3.8597066768239543,openmeteo,ISS,NASA-JPL EMIT,emi20240112t185917p12016-A_l3a-vis-ch4-mfa-v002_plume.tif,emi20240112t185917p12016-A_l3a-vis-ch4-mfa-v002_plume.png,emi20240112t185917p12016-A_l3a-vis-ch4-mfa-v002_rgb.tif,emi20240112t185917p12016-A_l3a-vis-ch4-mfa-v002_rgb.png
emi20240112t185917p12016-B,-34.52999426142153,-58.63041232615491,2024-01-12T18:59:17+00,Solid Waste (6A),CH4,mfa,"[-58.670920000702125, -34.557051863616834, -58.60243832967218, -34.50063386288461]",emi,2024-02-28 03:33:50.738138+00:00,,,,,,,,,,,,ISS,NASA-JPL EMIT,emi20240112t185917p12016-B_l3a-vis-ch4-mfa-v002_plume.tif,emi20240112t185917p12016-B_l3a-vis-ch4-mfa-v002_plume.png,emi20240112t185917p12016-B_l3a-vis-ch4-mfa-v002_rgb.tif,emi20240112t185917p12016-B_l3a-vis-ch4-mfa-v002_rgb.png
emi20240114t185814p12006-A,-35.32778652857241,-71.64707633961105,2024-01-14T18:58:14+00,Solid Waste (6A),CH4,mfa,"[-71.68128446847324, -35.355322337485134, -71.61320306881787, -35.29929430942942]",emi,2024-03-27 18:19:37.649533+00:00,,,,,2166.1403933813313,11.24178026540939,5.046296296296297,0.026189140043946114,200.666670427471,0.47140651521930005,openmeteo,ISS,NASA-JPL EMIT,emi20240114t185814p12006-A_l3a-vis-ch4-mfa-v002_plume.tif,emi20240114t185814p12006-A_l3a-vis-ch4-mfa-v002_plume.png,emi20240114t185814p12006-A_l3a-vis-ch4-mfa-v002_rgb.tif,emi20240114t185814p12006-A_l3a-vis-ch4-mfa-v002_rgb.png
emi20240114t185837p12008-A,-34.234398196242694,-70.70063960431663,2024-01-14T18:58:37+00,Solid Waste (6A),CH4,mfa,"[-70.73070727406895, -34.25902951028105, -70.6624649325546, -34.20309479195637]",emi,2024-04-22 16:24:25.104911+00:00,,,,,1737.8389782797676,42.99816921116245,3.6666666666666665,0.09072184232530275,230.9978606740761,5.357052627974358,openmeteo,ISS,NASA-JPL EMIT,emi20240114t185837p12008-A_l3a-vis-ch4-mfa-v002_plume.tif,emi20240114t185837p12008-A_l3a-vis-ch4-mfa-v002_plume.png,emi20240114t185837p12008-A_l3a-vis-ch4-mfa-v002_rgb.tif,emi20240114t185837p12008-A_l3a-vis-ch4-mfa-v002_rgb.png
emi20240118t172300p11004-A,-36.76702299599616,-72.96491291510713,2024-01-18T17:23:00+00,Solid Waste (6A),CH4,mfa,"[-73.0004775934837, -36.79208014840273, -72.93179804527118, -36.73706085479362]",emi,2024-04-22 16:13:58.959122+00:00,,,,,2590.0352185600627,211.2010218972473,6.194444444444444,0.5051178406291058,173.65270805159886,7.325638579534581,openmeteo,ISS,NASA-JPL EMIT,emi20240118t172300p11004-A_l3a-vis-ch4-mfa-v002_plume.tif,emi20240118t172300p11004-A_l3a-vis-ch4-mfa-v002_plume.png,emi20240118t172300p11004-A_l3a-vis-ch4-mfa-v002_rgb.tif,emi20240118t172300p11004-A_l3a-vis-ch4-mfa-v002_rgb.png
emi20240118t172324p11006-A,-35.32777915172789,-71.64712932490765,2024-01-18T17:23:24+00,Solid Waste (6A),CH4,mfa,"[-71.68183391435437, -35.354697390796474, -71.61267297978601, -35.29827103630153]",emi,2024-03-14 19:16:36.605340+00:00,,,,,3303.8857927483928,216.23026446031946,4.953703703703703,0.3242063222224366,198.66687370009674,2.8678908254511524,openmeteo,ISS,NASA-JPL EMIT,emi20240118t172324p11006-A_l3a-vis-ch4-mfa-v002_plume.tif,emi20240118t172324p11006-A_l3a-vis-ch4-mfa-v002_plume.png,emi20240118t172324p11006-A_l3a-vis-ch4-mfa-v002_rgb.tif,emi20240118t172324p11006-A_l3a-vis-ch4-mfa-v002_rgb.png
emi20240118t172336p11007-B,-34.823180157711896,-71.18093720553395,2024-01-18T17:23:36+00,Solid Waste (6A),CH4,mfa,"[-71.21287162631369, -34.849086662486485, -71.14447625938034, -34.792938184450506]",emi,2024-03-22 00:26:54.497916+00:00,,,,,1831.7208628826866,54.95790714910461,4.0,0.12001371663718265,199.33336342205956,0.9428249972875716,openmeteo,ISS,NASA-JPL EMIT,emi20240118t172336p11007-B_l3a-vis-ch4-mfa-v002_plume.tif,emi20240118t172336p11007-B_l3a-vis-ch4-mfa-v002_plume.png,emi20240118t172336p11007-B_l3a-vis-ch4-mfa-v002_rgb.tif,emi20240118t172336p11007-B_l3a-vis-ch4-mfa-v002_rgb.png
emi20240120t154941p10018-A,-34.52776832768573,-58.62263212272401,2024-01-20T15:49:41+00,Solid Waste (6A),CH4,mfa,"[-58.70253172373964, -34.56375860658375, -58.59825554157478, -34.477843337777614]",emi,2024-02-21 17:36:02.960422+00:00,,,,,4223.294687120014,125.4859701587315,4.25,0.1262794601572764,95.67215408649344,7.416468005408821,openmeteo,ISS,NASA-JPL EMIT,emi20240120t154941p10018-A_l3a-vis-ch4-mfa-v002_plume.tif,emi20240120t154941p10018-A_l3a-vis-ch4-mfa-v002_plume.png,emi20240120t154941p10018-A_l3a-vis-ch4-mfa-v002_rgb.tif,emi20240120t154941p10018-A_l3a-vis-ch4-mfa-v002_rgb.png
emi20240120t154941p10018-E,-34.78555457354089,-58.66960991689663,2024-01-20T15:49:41+00,Solid Waste (6A),CH4,mfa,"[-58.709472786371556, -34.814239523167394, -58.641510214285645, -34.75842286348815]",emi,2024-07-08 16:10:56.986662+00:00,,,,,1597.7716564204384,127.26516106878711,4.12962962962963,0.3289318457098446,121.33387178440329,3.3005161121070095,ecmwf_ifs,ISS,NASA-JPL EMIT,emi20240120t154941p10018-E_l3a-vis-ch4-mfa-v002_plume.tif,emi20240120t154941p10018-E_l3a-vis-ch4-mfa-v002_plume.png,emi20240120t154941p10018-E_l3a-vis-ch4-mfa-v002_rgb.tif,emi20240120t154941p10018-E_l3a-vis-ch4-mfa-v002_rgb.png
emi20240122t154730p10006-A,-36.76642700775129,-72.96286757915107,2024-01-22T15:47:30+00,Solid Waste (6A),CH4,mfa,"[-72.9806743705374, -36.80465698621985, -72.91147648928501, -36.7497093790307]",emi,2024-03-27 18:25:53.773064+00:00,,,,,2146.020730260361,815.4391984776663,3.425925925925926,1.3017741402441918,301.66351543576985,4.4986448307450075,openmeteo,ISS,NASA-JPL EMIT,emi20240122t154730p10006-A_l3a-vis-ch4-mfa-v002_plume.tif,emi20240122t154730p10006-A_l3a-vis-ch4-mfa-v002_plume.png,emi20240122t154730p10006-A_l3a-vis-ch4-mfa-v002_rgb.tif,emi20240122t154730p10006-A_l3a-vis-ch4-mfa-v002_rgb.png
